EFPG_name,Metroregion_name,Purchase_grams_wtd,Date,Latitude,Longitude,Type
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22336187220.0,2016-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22324779839.0,2016-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25603055577.0,2016-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25869182995.0,2016-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,26195139709.0,2016-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25208629854.0,2016-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24394396300.0,2016-09-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24174887239.0,2016-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22753517296.0,2016-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22877366848.0,2016-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,20584165136.0,2017-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19725962380.0,2017-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22667790479.0,2017-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23886650655.0,2017-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,26103686917.0,2017-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25354449688.0,2017-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,26381688475.0,2017-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25768266737.0,2017-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24828964876.0,2017-09-01,33.749,-84.388,Actual
