EFPG_name,Metroregion_name,Season,Latitude,Longitude,Purchase_grams_wtd
All other caloric beverages,Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,1540247615956.0
All other caloric beverages,Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,1235059346605.0
All other caloric beverages,Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,846742610682.0
All other caloric beverages,Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,913959731839.0
All other caloric beverages,Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,992030198310.0
All other caloric beverages,Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,840178471533.0
All other caloric beverages,Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,1266624322128.0
All other caloric beverages,Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,1324042115498.0
All other caloric beverages,Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,1472393722102.0
All other caloric beverages,Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,1181523245482.0
All other caloric beverages,Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,1680655952251.0
All other caloric beverages,Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,1728366554362.0
All other caloric beverages,Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,1903082324503.0
All other caloric beverages,Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,1596168177514.0
All other caloric beverages,Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,1013639364135.0
All other caloric beverages,Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,1093884733133.0
All other caloric beverages,Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,1086279903389.0
All other caloric beverages,Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,1040640302371.0
All other caloric beverages,New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,2046684666108.0
All other caloric beverages,New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,2166519001510.0
All other caloric beverages,New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,2472286202309.0
All other caloric beverages,New York-Newark-Jersey City  NY-NJ-PA,Winter,40.7128,-74.006,2111137020108.0
All other caloric beverages,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Fall,39.9526,-75.1652,888598780010.0
All other caloric beverages,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Spring,39.9526,-75.1652,919098015984.0
All other caloric beverages,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Summer,39.9526,-75.1652,1023660479823.0
All other caloric beverages,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Winter,39.9526,-75.1652,868763864767.0
"Bacon, sausage, and lunch meats",Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,91024645729.0
"Bacon, sausage, and lunch meats",Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,90332585059.0
"Bacon, sausage, and lunch meats",Atlanta-Sandy Springs-Roswell  GA,Summer,33.749,-84.388,90347142120.0
"Bacon, sausage, and lunch meats",Atlanta-Sandy Springs-Roswell  GA,Winter,33.749,-84.388,96128483867.0
"Bacon, sausage, and lunch meats",Boston-Cambridge-Newton  MA-NH,Fall,42.3601,-71.0589,66356596968.0
"Bacon, sausage, and lunch meats",Boston-Cambridge-Newton  MA-NH,Spring,42.3601,-71.0589,72563931046.0
"Bacon, sausage, and lunch meats",Boston-Cambridge-Newton  MA-NH,Summer,42.3601,-71.0589,74962120546.0
"Bacon, sausage, and lunch meats",Boston-Cambridge-Newton  MA-NH,Winter,42.3601,-71.0589,72771230453.0
"Bacon, sausage, and lunch meats",Chicago-Naperville-Elgin  IL-IN-WI,Fall,41.8781,-87.6298,140513823120.0
"Bacon, sausage, and lunch meats",Chicago-Naperville-Elgin  IL-IN-WI,Spring,41.8781,-87.6298,139455998380.0
"Bacon, sausage, and lunch meats",Chicago-Naperville-Elgin  IL-IN-WI,Summer,41.8781,-87.6298,130898499562.0
